Name,Symbol,Last,Chg. %,Market Cap,Vol.,,
Key Tronic,KTCC,8.86,1.37%,95.33M,9.81K,,
EMCORE,EMKR,3.24,-0.61%,95.28M,90.97K,,
Ultralife,ULBI,5.85,-2.50%,92.98M,35.02K,,
Marchex,MCHX,2.08,0.97%,92.68M,126.81K,,
Frequency Electronics,FEIM,10.05,2.14%,92.08M,12.58K,,
Park City Group,PCYG,4.64,4.04%,90.29M,33.58K,,
IEC,IEC,8.55,1.30%,90.23M,21.73K,,
Luokung Tech,LKCO,0.428,4.88%,85.31M,683.74K,,
Pareteum,TEUM,0.6412,3.94%,85.25M,588.03K,,
Borqs Tech,BRQS,1.05,8.25%,84.28M,6.63M,,
RigNet,RNET,4.1,-1.68%,84.27M,137.82K,,
Crexendo,CXDO,5.54,0.73%,84.07M,269.01K,,
Pixelworks,PXLW,2.08,0.97%,84.06M,250.95K,,
O2Micro,OIIM,3.19,3.57%,83.17M,41.96K,,
Neonode,NEON,7.71,4.05%,83.14M,117.94K,,
Nano Dimension,NNDM,1.55,-12.92%,82.52M,2.44M,,
Bionano Genomics,BNGO,0.589,-0.17%,81.52M,3.70M,,
Arotech,ARTX,2.995,0%,79.86M,0,,
Pensare Acquisition,AVCT,4,3.90%,78.54M,144.86K,,
Geospace,GEOS,5.68,-1.39%,77.61M,35.72K,,
Beam Global,BEEM,11.5,2.68%,76.91M,116.54K,,
Northern Technologies,NTIC,8.37,0.12%,76.17M,12.09K,,
Computer Task,CTG,4.89,0%,74.20M,21.93K,,
Lmp Auto,LMPX,21.94,6.92%,73.44M,144.95K,,
Amtech,ASYS,5.17,1.77%,72.63M,73.23K,,
Inspired Entertainment,INSE,2.98,0%,68.63M,63.62K,,
Sonim Technologies,SONM,0.76,-1.23%,63.95M,558.50K,,
ClearSign,CLIR,2.19,-0.91%,63.47M,106.82K,,
Cyren,CYRN,1.047,0.77%,62.79M,31.06K,,
Research Solutions,RSSS,2.39,-1.65%,62.22M,72.32K,,
Marathon Patent,MARA,1.93,10.29%,62.04M,8.30M,,
Qumu Corp,QUMU,4.58,0.88%,61.93M,53.39K,,
RumbleON,RMBL,27.67,-2.05%,61.69M,77.61K,,
Esports Entertainment,GMBL,3.91,6.83%,60.14M,192.46K,,
Flux Power Holdings,FLUX,5.4,-4.59%,59.48M,238.59K,,
Intermolecular,IMI,1.195,0%,59.46M,0,,
Digital Ally,DGLY,2.23,-3.88%,59.28M,1.83M,,
Synacor,SYNC,1.5,7.14%,59.19M,624.64K,,
The9 ADR,NCTY,0.766,-17.15%,58.85M,6.26M,,
LightPath,LPTH,2.25,-0.88%,58.53M,277.63K,,
Coda Octopus,CODA,5.42,-1.99%,58.28M,29.48K,,
Akazoo,SONG,1.16,0%,58.03M,0,,
Aware,AWRE,2.64,-2.94%,56.76M,4.76K,,
AstroNova,ALOT,7.79,2.91%,55.84M,13.64K,,
Richardson Electronics,RELL,4.22,1.69%,55.74M,10.59K,,
Innodata,INOD,2.25,1.81%,55.03M,34.75K,,
Exela Tech,XELA,0.3701,-0.59%,54.59M,2.33M,,
Boxlight A,BOXL,1.66,14.48%,52.88M,15.11M,,
GreenPro,GRNQ,0.9378,-0.76%,51.32M,99.79K,,
TESSCO,TESS,5.71,6.73%,49.75M,5.75K,,
IZEA,IZEA,0.9756,4.06%,47.23M,1.09M,,
MIND CTI,MNDO,2.34,0%,46.56M,31.95K,,
Akerna,KERN,3.6,-1.10%,46.28M,89.04K,,
Streamline,STRM,1.46,2.10%,46.17M,55.95K,,
VERB TECH,VERB,1.08,-1.82%,44.90M,372.65K,,
ClearOne,CLRO,2.35,-0.42%,44.11M,80.53K,,
Inpixon,INPX,1.01,-1.94%,42.68M,738.67K,,
Finjan Hold,FNJN,1.54,0%,42.66M,0,,
Houston Wire&Cable,HWCC,2.57,-1.91%,42.55M,9.38K,,
CLPS,CLPS,2.94,3.52%,41.89M,41.25K,,
Mogo,MOGO,1.45,-0.68%,41.81M,112.08K,,
Micronet Enertec,MICT,3.45,12.01%,41.16M,958.20K,,
Black Ridge,AESE,1.38,-1.43%,40.27M,540.04K,,
Perceptron,PRCP,4.09,-2.39%,39.76M,49.89K,,
CSP,CSPI,9,2.62%,38.50M,985,,
Precipio,PRPO,2.33,6.39%,38.27M,441.83K,,
UTStarcom,UTSI,1.06,-1.85%,38.08M,23.18K,,
Communications Systems,JCS,3.95,-1%,36.96M,5.58K,,
TransAct,TACT,4.82,-3.21%,36.38M,1.12K,,
Aehr Test Systems,AEHR,1.53,6.99%,35.64M,950.63K,,
One Stop Systems,OSS,2.14,1.90%,35.58M,63.16K,,
Polar Power,POLA,3.1,-15.99%,35.26M,6.59M,,
Voxeljet Ag,VJET,7.095,-1.66%,34.93M,4.12K,,
Sunworks,SUNW,2.09,-46.82%,34.75M,46.54M,,
QuickLogic,QUIK,3.12,0.32%,34.49M,33.57K,,
TheStreet,TST,6.44,0%,34.37M,0,,
Steel Connect,STCN,0.55,-1.87%,34.30M,40.12K,,
Phunware,PHUN,0.837,6.93%,34.29M,884.50K,,
Support.com,SPRT,1.76,2.92%,33.58M,87.10K,,
Creatd,CRTD,2.8,0.72%,33.12M,15.84K,,
SeaChange,SEAC,0.88,-0.55%,32.99M,93.10K,,
NetSol,NTWK,2.68,-2.90%,32.26M,21.07K,,
Alithya A,ALYA,2.16,0.47%,31.56M,1.02K,,
Giga Media Ltd,GIGM,2.85,-3.72%,31.50M,239.44K,,
VirTra,VTSI,3.6,2.27%,27.94M,38.08K,,
BIO-Key,BKYI,0.434,1.88%,26.23M,1.01M,,
Powerbridge,PBTS,2.09,8.29%,25.60M,85.99K,,
Asia Pacific Wire & Cable,APWC,1.71,17.12%,23.63M,6.62M,,
Super League Gaming,SLGG,1.93,4.32%,23.54M,141.19K,,
Moxian,MOXC,1.4,7.69%,22.67M,110.32K,,
HTG Molecular Diagnostics,HTGM,0.3194,4.72%,22.58M,2.29M,,
ADDvantage,AEY,1.9,-1.55%,22.40M,79.64K,,
BroadVision,BVSN,4.415,0%,22.34M,0,,
CUI Global,OEG,0.733,8.15%,22.30M,4.18M,,
Cps Technologies,CPSH,1.67,-12.57%,22.20M,429.95K,,
GSE Systems,GVP,1.01,3.06%,20.76M,46.29K,,
Cesca Therapeutics,THMO,3.08,1.99%,20.67M,40.20K,,
Eltek,ELTK,4.7,0.11%,20.59M,5.85K,,
Rubicon Tech,RBCN,8.5,-1.11%,20.45M,427,,
CVD Equipment,CVV,3.08,6.95%,20.42M,85.58K,,
Optical Cable,OCC,2.58,7.05%,19.45M,36.30K,,
Schmitt,SMIT,5.21,-0.29%,19.34M,16.07K,,
CounterPath,CPAH,3.07,2.33%,19.24M,14.66K,,
MMTEC,MTC,0.93,8.13%,18.67M,126.10K,,
Image Sensing,ISNS,3.49,0.29%,18.63M,1.38K,,
VerifyMe,VRME,3.34,0.08%,18.62M,241.35K,,
Sphere 3D,ANY,2.65,-0.38%,18.44M,157.08K,,
Ideal Power Inc,IPWR,6.3,-6.80%,18.27M,100.32K,,
Taoping,TAOP,2.42,-1.22%,18.26M,44.14K,,
China Finance,JRJC,7.51,1.62%,18.05M,150.20K,,
Westell Tech,WSTL,1.12,-0.89%,17.71M,140.21K,,
JMU,MFH,2.35,3.52%,17.60M,62.87K,,
BSQUARE,BSQR,1.31,-3.67%,17.23M,21.72K,,
Professional Diversity,IPDN,1.24,51.22%,15.90M,3.00M,,
Gridsum,GSUM,1.125,4.17%,15.40M,87.74K,,
Liquid Media,YVR,1.5,7.91%,14.67M,286.16K,,
Duos Tech,DUOT,3.83,4.79%,14.63M,1.33K,,
Summit Wireless Tech,WISA,1.85,0%,14.47M,68.53K,,
Pioneer Pow,PPSI,1.59,-13.11%,13.87M,8.77M,,
Taitron,TAIT,2.27,-1.30%,13.17M,13.61K,,
SigmaTron,SGMA,2.96,0.34%,12.56M,36.02K,,
Sigma Labs,SGLB,2.11,4.46%,12.28M,295.80K,,
NXT-ID,NXTD,0.3489,6.34%,12.21M,1.65M,,
Evolving Systems,EVOL,0.998,-2.16%,12.17M,14.99K,,
Alliance MMA,WORX,1.29,-2.27%,12.11M,462.00K,,
SemiLEDS,LEDS,3.01,8.03%,12.06M,89.20K,,
Nortech,NSYS,4.52,-1.67%,12.02M,15.06K,,
Electro-Sensors,ELSE,3.54,0.85%,12.02M,639,,
Supercom Lt,SPCB,0.719,-4.12%,11.71M,139.54K,,
SilverSun Tech,SSNT,2.51,0%,11.30M,758.97K,,
Creative Realities,CREX,1.05,-0.94%,10.94M,112.15K,,
BOS,BOSC,2.545,1.80%,10.84M,5.19K,,
Integrated Media Tech,IMTE,3.8,0.53%,10.05M,6.32K,,
TSR,TSRI,4.76,2.74%,9.33M,17.63K,,
Marin Software,MRIN,1.28,4.07%,8.91M,26.07K,,
Bridgeline Digital,BLIN,1.86,-1.59%,8.22M,46.98K,,
Superconductor,SCON,2.35,2.17%,7.41M,272.30K,,
Socket Mobile,SCKT,1.18,-0.84%,7.14M,63.31K,,
Ameri,AMRH,1.07,2.88%,6.14M,49.06K,,
Technical Communications,TCCO,3.19,2.90%,5.90M,14.20K,,
MoSys,MOSY,1.49,4.93%,5.27M,24.27K,,
MER,MTSL,1.12,0.90%,4.94M,45.51K,,
Duck Creek,DCT,42.22,3.28%,-,351.44K,,
WiMi Hologram Cloud,WIMI,5.9,8.26%,-,418.81K,,
OLB Group,OLB,3.74,5.35%,-,7.68K,,
Maxeon Solar Technologies,MAXN,14.38,7.23%,-,1.09M,,
