Name,Symbol,Last,Chg. %,Market Cap,Vol.,,
ON Semiconductor,ON,20.49,0.89%,8.42B,5.17M,,
Five9,FIVN,125.02,3.07%,8.17B,921.29K,,
Paylocity Holdng,PCTY,151.73,4.53%,8.17B,219.60K,,
Universal Display,OLED,172.12,1.41%,8.11B,229.84K,,
Stars Group,TSG,27.31,0%,8.11B,0,,
Dropbox,DBX,19.15,1.97%,7.92B,4.10M,,
Weibo Corp,WB,32.54,-5.74%,7.82B,1.75M,,
Amdocs,DOX,57.52,0.58%,7.65B,480.44K,,
F5 Networks,FFIV,119.99,0.91%,7.34B,476.53K,,
Ncino,NCNO,79.79,1.26%,7.19B,134.44K,,
Mellanox,MLNX,124.89,0%,7.00B,0,,
Vroom,VRM,49.53,0.86%,6.98B,2.07M,,
Kingsoft Cloud,KC,28.57,-3.71%,6.75B,3.31M,,
First Solar,FSLR,63.05,2.85%,6.68B,3.34M,,
Cree,CREE,60.02,1.61%,6.59B,564.99K,,
HD Supply,HDS,40.56,2.81%,6.58B,1.46M,,
YY A,YY,77.09,-0.91%,6.29B,396.62K,,
Proofpoint,PFPT,105.49,2.68%,6.08B,330.78K,,
RealPage,RP,59.15,2.07%,6.03B,427.07K,,
Manhattan Associates,MANH,94.28,1.58%,5.99B,181.86K,,
Bruker,BRKR,39.16,2.14%,5.99B,419.49K,,
MKS Instruments,MKSI,107.54,-0.48%,5.93B,371.66K,,
Bigcommerce,BIGC,79.99,3.16%,5.89B,1.25M,,
Medidata,MDSO,92.22,0%,5.76B,0,,
Lumentum Holdings Inc,LITE,74.2,1.60%,5.58B,912.99K,,
Elbit Systems,ESLT,120.72,0.77%,5.34B,10.29K,,
CDK Global Holdings LLC,CDK,43.61,2.61%,5.30B,975.64K,,
Flex,FLEX,10.53,-1.86%,5.27B,3.38M,,
Tech Data,TECD,144.9,0%,5.17B,0,,
ANGI Homeservices,ANGI,10.28,4.90%,5.10B,3.05M,,
Blackline,BL,89.24,5.11%,5.08B,594.66K,,
Appfolio Inc,APPF,142.8,1.78%,4.90B,139.76K,,
Schrodinger,SDGR,49.16,4.89%,4.71B,1.13M,,
DouYu,DOYU,14.16,-0.91%,4.65B,1.91M,,
National Instruments,NATI,35.14,1.38%,4.62B,989.02K,,
FLIR Systems,FLIR,35.24,1.73%,4.62B,941.87K,,
Descartes Systems,DSGX,53.33,1.54%,4.50B,76.71K,,
Plug Power,PLUG,11.65,3.65%,4.40B,18.82M,,
Mercury,MRCY,77.86,2.45%,4.36B,232.23K,,
Nutanix,NTNX,21.78,2.45%,4.35B,1.50M,,
Everbridge,EVBG,124.94,1.93%,4.32B,405.32K,,
Silicon Labs,SLAB,96.7,1.67%,4.24B,201.93K,,
LogMeIn,LOGM,86.04,0%,4.22B,0,,
Bandwidth,BAND,174.23,6.78%,4.21B,845.02K,,
